Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.48601E-4,16.544984567,0.571849763,0.465880966,0.153791804,0
1.49674E-4,16.754092484,0.574464139,0.464230996,0.156617993,0
1.50073E-4,17.008797338,0.575432338,0.46222746,0.159915214,0
1.50817E-4,17.264666568,0.57723148,0.460223925,0.162976919,0
1.52054E-4,17.537526977,0.58020674,0.458102534,0.166509656,0
1.53231E-4,17.751311818,0.583018816,0.456452563,0.169335846,0
1.54488E-4,18.012733407,0.586000388,0.454449028,0.172868582,0
1.55036E-4,18.260442906,0.587292101,0.452563347,0.175930287,0
1.55906E-4,18.508982892,0.589336819,0.450677666,0.179227508,0
1.57076E-4,18.759521645,0.592070317,0.448791986,0.182524729,0
1.58269E-4,19.011986339,0.594839815,0.44678845,0.185586434,0
1.59199E-4,19.265919227,0.596983826,0.445020625,0.188648139,0
1.60466E-4,19.505653987,0.599889383,0.443252799,0.190767781,0
1.61686E-4,19.763447374,0.602666194,0.441249263,0.193122939,0
1.63082E-4,20.006871616,0.605819303,0.439599293,0.195949129,0
1.63666E-4,20.251995529,0.607130672,0.437831467,0.199010834,0
1.64469E-4,20.514574222,0.60892896,0.435945787,0.201837023,0
1.65519E-4,20.77860165,0.611266086,0.433942251,0.204663212,0
1.66064E-4,21.143780339,0.612473813,0.43134944,0.206782854,0
1.66763E-4,21.26027027,0.61401687,0.43064231,0.21149317,0
1.6784E-4,21.511423062,0.616380975,0.428874484,0.214319359,0
1.68485E-4,21.763766999,0.617792289,0.427106659,0.217852096,0
1.69486E-4,22.000277398,0.619970517,0.425456688,0.220913801,0
1.69808E-4,22.254824916,0.620668303,0.423688863,0.224211022,0
1.71246E-4,22.510794578,0.623769751,0.421921037,0.227037211,0
1.71929E-4,22.768332728,0.62523325,0.420153212,0.230569948,0
1.72382E-4,23.043857175,0.626201116,0.418267531,0.234102685,0
1.73031E-4,23.389574668,0.627583458,0.415792575,0.236222327,0
1.73318E-4,23.510797131,0.628192197,0.415085445,0.239519548,0
1.74187E-4,23.753956788,0.630031409,0.413435474,0.24163919,0
1.74856E-4,24.033228572,0.631441669,0.411431939,0.244465379,0
1.75555E-4,24.331031062,0.632909242,0.409546258,0.247998116,0
1.76061E-4,24.506773471,0.633968834,0.408367708,0.249646726,0
1.76786E-4,24.77155949,0.635481043,0.406599882,0.252708431,0
1.77248E-4,25.001589282,0.636440125,0.405067767,0.254828073,0
1.77741E-4,25.267769868,0.637462824,0.403299941,0.257889779,0
1.78645E-4,25.517167782,0.639327995,0.401649971,0.260480452,0
1.79418E-4,25.785785957,0.640915643,0.399882145,0.264013189,0
1.79846E-4,26.001338415,0.641792037,0.398467885,0.266839378,0
1.80931E-4,26.254039592,0.644004013,0.396817914,0.269665568,0
1.81841E-4,26.508162238,0.645849387,0.395167943,0.272491757,0
1.82189E-4,26.762988047,0.646552674,0.393517973,0.275553462,0
1.8289E-4,27.018577406,0.64796258,0.391868002,0.278144136,0
1.83445E-4,27.256718962,0.649077287,0.390335887,0.281205841,0
1.8399E-4,27.513972656,0.650167959,0.388685916,0.283796514,0
1.84372E-4,27.75338053,0.65092912,0.387153801,0.28685822,0
